,npi,last_name,entity_type,city,state,provider_type,place_of_service,hcpcs_code,hcpcs_desc,no_dist_ben_per_day_svcs,avg_med_allowed_amt,avg_med_pay_amt,zip,cbsa
738636,1326235219,WEISS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",486,86.62,59.189609053000005,37203,34980
739904,1407068653,ROBERSON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",79,86.62,57.239746835,37203,34980
740111,1417283987,TALLEY,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",145,86.62,58.315517241,37203,34980
740114,1417364431,GRACE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",13,86.62,67.06076923100001,37203,34980
740123,1417373267,RIKAL,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",31,86.62,67.91,37203,34980
740549,1427045897,PACE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",435,86.62,58.085701148999995,37203,34980
740965,1447344668,HRONEK,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",16,86.62,62.0325,37203,34980
740981,1447625249,COX,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",67,86.62,56.498059701,37203,34980
741193,1467692673,HATCHER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",41,86.62,66.970731707,37203,34980
741212,1467752758,HANSEN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",61,64.38,47.766065573999995,37203,34980
741301,1477951036,ELDRIDGE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",589,86.62,65.798811545,37203,34980
741360,1487780268,KRANTZ,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",52,86.62,53.76576923100001,37203,34980
742340,1538305669,DOUILLARD,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",36,86.62,40.599166667,37203,34980
742704,1578998886,TABOR,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",41,86.992926829,64.889756098,37203,34980
742721,1588019772,HENDON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",336,86.62,59.316369048,37203,34980
742869,1598735532,SHWAB,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",133,86.62,62.770601504,37203,34980
743756,1659703817,HOLT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",527,84.89,57.085142315,37203,34980
743788,1659894475,GRGAS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",30,86.62,66.626333333,37203,34980
744075,1679667877,SKOJAC,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",17,86.62,52.529411765,37203,34980
744091,1679836936,HOLLMAN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",29,86.62,51.691034483,37203,34980
744194,1689817314,REED,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",82,86.62,65.55341463399999,37203,34980
744620,1720318868,KIPP,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",139,86.62,58.544460432,37203,34980
744628,1720364987,ROBINSON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",33,86.62,67.91,37203,34980
744630,1720436249,BARRE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",11,86.62,55.990909091000006,37203,34980
744645,1720443997,JONES,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",33,86.62,56.881818181999996,37203,34980
744725,1730392259,MUIRHEAD,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",157,86.62,55.168789808999996,37203,34980
744936,1750492310,HAEBERLE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",28,86.62,58.208571428999996,37203,34980
745466,1801123138,DELK,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",11,86.62,55.810909091000006,37203,34980
745478,1801254925,DELINE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",611,86.62,62.935630115,37203,34980
745486,1801293808,DILLON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",24,86.62,67.91,37203,34980
745651,1811372717,WRIGHT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",247,86.62,54.144048583,37203,34980
746251,1851688865,THREAPLETON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",250,86.62,61.28248000000001,37203,34980
746273,1851813349,SCISM,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",24,86.62,62.250833333,37203,34980
747149,1912094038,FOURNACE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",24,86.62,52.855833333,37203,34980
747160,1912279852,FORTE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",73,86.62,59.178630137,37203,34980
747485,1932236247,ALT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",212,86.62,51.884764151000006,37203,34980
747653,1942390174,HAYDEN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",93,86.62,53.475483871,37203,34980
747865,1952696825,BUNTING,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",30,86.62,66.758,37203,34980
748158,1982009825,WEIDA,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",15,86.62,63.382666666999995,37203,34980
748308,1992892574,ROBERTSON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",41,84.89,59.747317073000005,37203,34980
1112401,1033293147,RASSEKHI,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",128,86.2725,58.4671875,37232,34980
1112448,1043285091,LEE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",51,91.37,62.465882353000005,37232,34980
1112795,1073797502,PIERCE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",139,86.46,54.184316546999995,37232,34980
1112807,1083701106,FICKEN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",33,86.62,63.907575758,37232,34980
1112866,1083841993,ROBBINS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",50,85.2856,64.1472,37232,34980
1112977,1104027184,ENGH,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",109,86.62,62.02440367,37232,34980
1113130,1114023355,DRAKE-DAVIS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",38,84.73078947399999,59.686578947,37232,34980
1113228,1124139456,STEPHENS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",27,86.62,67.91,37232,34980
1113373,1124308192,SEXTON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",426,89.39,60.525704225,37232,34980
1113389,1124370630,WRIGHT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",23,86.62,55.303913043,37232,34980
1113596,1144650367,DREADDY,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",18,84.89,35.84,37232,34980
1113804,1164541611,SHACKLEFORD,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",25,86.62,50.8588,37232,34980
1113888,1174610299,WASDEN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",68,86.62,62.039411765,37232,34980
1114052,1194902452,SCHREIER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",46,86.62,64.957391304,37232,34980
1114825,1255428389,HATCHETT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",89,86.62,61.891573034,37232,34980
1114892,1255574919,CARTER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",218,86.62,57.459449541000005,37232,34980
1114993,1265529382,SPARKMAN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",88,86.62,61.122840909,37232,34980
1115023,1265721419,WHEELER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",200,92.94,62.3856,37232,34980
1115186,1285721399,MEADOR,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",80,86.62,56.5455,37232,34980
1115390,1306275946,WOOD,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",163,86.483558282,55.09392638,37232,34980
1115488,1316034440,REESE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",201,86.62,52.516517413,37232,34980
1115590,1316398332,POIRIER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",136,86.62,67.198529412,37232,34980
1115663,1326033218,JOHNSON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",71,86.62,58.862957746000006,37232,34980
1115693,1326122433,WAGNON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",19,86.62,60.966842105,37232,34980
1115820,1346493038,SIBLER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",173,86.23433526,58.930462428,37232,34980
1115916,1366409179,DAUWALDER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",197,84.89,51.696345178,37232,34980
1115960,1366591802,CASE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",15,86.62,58.855333333000004,37232,34980
1116264,1396120739,HAMLET,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",100,86.44,58.3873,37232,34980
1116707,1427466705,BYRAM,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",12,86.62,56.9525,37232,34980
1116807,1437337763,BURTON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",14,86.62,56.747142857,37232,34980
1116847,1447347588,KNAB,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",138,86.62,59.07057971,37232,34980
1116867,1447494711,SINGLETON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",172,86.62,60.778604651,37232,34980
1117310,1477515732,AHOLT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",20,86.62,53.6385,37232,34980
1117583,1497114904,SUCCAR,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",280,89.54,55.106035713999994,37232,34980
1117848,1518155225,POLLICE-MESERVY,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",151,86.62,61.499801325,37232,34980
1117870,1518309947,CRAIN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",239,86.44,65.691757322,37232,34980
1118126,1538360508,WOLFF,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",61,64.38,49.126229508,37232,34980
1118595,1578873246,ECKERT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",56,86.62,61.77267857100001,37232,34980
1118821,1609047760,MARKSBURY,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",467,86.62,61.097173448,37232,34980
1119198,1629321161,COMOLA,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",15,86.62,58.855333333000004,37232,34980
1119297,1639266745,TOMPKINS,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",124,86.62,50.788629031999996,37232,34980
1119698,1659692150,FORT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",12,86.62,41.435,37232,34980
1120176,1700973823,CLEMENT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",27,86.62,65.394814815,37232,34980
1120509,1730429812,JAYAMOHAN,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",145,86.159862069,58.707103448000005,37232,34980
1120775,1750766309,PRESSEAULT,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",176,84.89,55.371534091,37232,34980
1120853,1760922850,DEAL,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",79,86.62,59.181265823000004,37232,34980
1121003,1770891269,REVIERE,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",40,86.62,67.91,37232,34980
1121063,1780768887,ALLOCCO,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",56,86.62,60.344642857,37232,34980
1121221,1790865756,BARLOW,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",18,86.62,62.11,37232,34980
1121375,1801995246,SNEDEGAR,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",91,86.62,56.981538461999996,37232,34980
1122073,1861472854,WAGNER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",72,86.62,49.9325,37232,34980
1122243,1871680991,WIRTH,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",37,86.62,59.660540541,37232,34980
1122301,1881732238,CLOYD,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",54,64.38,40.992037036999996,37232,34980
1122326,1891152138,GILMER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",40,86.8325,57.08825,37232,34980
1122366,1891813838,JOHNSON,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",124,86.440645161,52.840725806,37232,34980
1122409,1891882916,MCCARTY,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",23,86.62,60.87826087,37232,34980
1123236,1942485271,KINZIG,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",169,86.62,62.139349112,37232,34980
1123327,1952702250,WALKER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",174,86.62,61.830632183999995,37232,34980
1123409,1962775999,LANIER,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",154,86.62,65.70512987,37232,34980
1123633,1982914156,ROWLAND,I,NASHVILLE,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",73,86.62,50.627260273999994,37232,34980
1669469,1033408828,HOLLOWAY,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",267,86.62,57.135430712,38401,34980
1669755,1043621683,SHEALY,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",18,84.89,61.089444443999994,38401,34980
1669983,1093931628,CONE,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",282,86.62,57.944770318,38401,34980
1670103,1114065398,JAMES,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",453,86.62,46.781589403999995,38401,34980
1670673,1164832416,HAWKINS,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",164,84.89,52.946280488,38401,34980
1670717,1174887293,PATTON,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",63,86.62,60.12984127,38401,34980
1670729,1184098147,LAWS,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",58,86.62,62.486034483000005,38401,34980
1670985,1205221884,RICHARDSON,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",56,86.222857143,63.399642856999996,38401,34980
1671333,1245694835,SCOTT,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",73,86.62,61.573972603,38401,34980
1671367,1255323721,WOOD,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",830,86.566409639,59.36473494,38401,34980
1671493,1265809305,CHAPMAN,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",232,86.524137931,57.093663793000005,38401,34980
1671533,1265849301,FURLINE,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",764,86.62,57.000955497,38401,34980
1671557,1285004085,CUNNINGHAM,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",63,84.944920635,59.346825396999996,38401,34980
1672351,1376566091,TRENT,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",101,86.62,62.474752475,38401,34980
1672497,1407384480,WENINEGAR,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",26,86.62,65.298076923,38401,34980
1672569,1457430613,GRAVES,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",374,86.62,50.441176471000006,38401,34980
1672597,1457471641,ANDERSON,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",33,84.89,60.448787878999994,38401,34980
1673271,1528250115,SCHARRER,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",162,84.89,58.508703704,38401,34980
1674195,1619064748,MELTON,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",309,86.47605178,56.168220065,38401,34980
1674225,1619335866,FARRELL,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",72,86.00222222200001,60.460694444,38401,34980
1674521,1659619161,BECK,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",514,86.23058365799999,62.005233463,38401,34980
1674853,1689101503,RICHARDSON,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",136,86.45647058799999,65.882794118,38401,34980
1674947,1700213691,VANFLEET,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",473,86.62,60.090274841,38401,34980
1675065,1720070949,BARR,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",429,86.62,62.116899767,38401,34980
1675081,1720326200,FRIERSON,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",236,86.431525424,53.260423728999996,38401,34980
1675267,1740567403,HEBEL,I,COLUMBIA,TN,Nurse Practitioner,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",54,86.62,56.665185185,38401,34980
