,npi,entity_type,provider_type,place_of_service,hcpcs_code,hcpcs_desc,no_dist_ben_per_day_svcs,avg_med_allowed_amt,avg_med_pay_amt,zip,cbsa,crosswalk_short_desc,apc
2010109,1790174274,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,48,599.01,460.56208333,77304,26420,Esoph egd dilation <30 mm,5302.0
2010110,1629013164,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,634.73,481.12857143,17201,16540,Esoph egd dilation <30 mm,5302.0
2010114,1508863242,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,623.93,461.22,14226,15380,Esoph egd dilation <30 mm,5302.0
2010122,1205963568,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,22,643.37,504.41,19010,37980,Esoph egd dilation <30 mm,5302.0
2010126,1861405607,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,598.64,457.49692308,78613,12420,Esoph egd dilation <30 mm,5302.0
2010132,1295748531,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,36,579.73472222,445.20222222,30322,12060,Esoph egd dilation <30 mm,5302.0
2010135,1336391085,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,599.01,461.09705882,77450,26420,Esoph egd dilation <30 mm,5302.0
2010137,1457428005,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,47,580.48,453.56468085,32003,27260,Esoph egd dilation <30 mm,5302.0
2010138,1366484404,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,46,495.05217391,387.20869565,58501,13900,Esoph egd dilation <30 mm,5302.0
2010149,1013011162,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,579.44,454.14384615,33709,45300,Esoph egd dilation <30 mm,5302.0
2010156,1043282775,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,50,595.3258,466.7368,21229,12580,Esoph egd dilation <30 mm,5302.0
2010161,1184664609,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,22,574.91,444.20863636,21742,25180,Esoph egd dilation <30 mm,5302.0
2010162,1306905815,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,711.22,557.6,95340,32900,Esoph egd dilation <30 mm,5302.0
2010169,1952368482,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,687.79,528.98142857,92103,41740,Esoph egd dilation <30 mm,5302.0
2010193,1215919329,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,98,550.54,423.86387755,72205,30780,Esoph egd dilation <30 mm,5302.0
2010197,1760418891,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,127,550.54,430.92669291,72205,30780,Esoph egd dilation <30 mm,5302.0
2010206,1356314249,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,555.77,407.99416667,29204,17900,Esoph egd dilation <30 mm,5302.0
2010211,1881651453,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,580.66,455.24,73071,36420,Esoph egd dilation <30 mm,5302.0
2010213,1518950716,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,33,553.18,430.86121212,29646,99999,Esoph egd dilation <30 mm,5302.0
2010214,1518950716,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,33,553.18,430.86121212,29646,24940,Esoph egd dilation <30 mm,5302.0
2010225,1235178005,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,561.92,438.58615385,35801,26620,Esoph egd dilation <30 mm,5302.0
2010237,1710177795,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,32,848.72,665.4,94598,41860,Esoph egd dilation <30 mm,5302.0
2010248,1194761908,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,587.9,433.12571429,30046,12060,Esoph egd dilation <30 mm,5302.0
2010255,1003015843,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,20,814.5345,596.4005,95687,46700,Esoph egd dilation <30 mm,5302.0
2010265,1568419323,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,54,562.22907407,428.86481481,79410,31180,Esoph egd dilation <30 mm,5302.0
2010279,1679892913,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,27,604.24925926,454.44259259,46202,26900,Esoph egd dilation <30 mm,5302.0
2010284,1477698009,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,584.61,458.34,63131,41180,Esoph egd dilation <30 mm,5302.0
2010291,1942617477,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,43,647.8027907000001,491.89860465,92056,41740,Esoph egd dilation <30 mm,5302.0
2010293,1164484572,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,809.38,619.51,95816,40900,Esoph egd dilation <30 mm,5302.0
2010300,1144219908,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,113,589.88,439.56318584,45219,17140,Esoph egd dilation <30 mm,5302.0
2010312,1063419513,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,25,598.9732,453.74,14221,15380,Esoph egd dilation <30 mm,5302.0
2010322,1700879467,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,81,589.79,452.20617284,50266,19780,Esoph egd dilation <30 mm,5302.0
2010323,1295790327,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,36,605.34,472.62277778,75075,19100,Esoph egd dilation <30 mm,5302.0
2010327,1003815242,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,446,509.85778027,391.67553812,36301,20020,Esoph egd dilation <30 mm,5302.0
2010328,1346349164,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,108,508.06694444,391.33527778,36301,20020,Esoph egd dilation <30 mm,5302.0
2010332,1497751747,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,635.09,484.60032258,19713,37980,Esoph egd dilation <30 mm,5302.0
2010333,1508839473,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,22,606.22272727,462.72,19713,37980,Esoph egd dilation <30 mm,5302.0
2010335,1639510175,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,551.35235294,432.26117647,15146,38300,Esoph egd dilation <30 mm,5302.0
2010361,1669446852,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,638.87,482.94625,80434,99999,Esoph egd dilation <30 mm,5302.0
2010362,1598879009,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,40,530.974,406.18625,39402,25620,Esoph egd dilation <30 mm,5302.0
2010369,1275870537,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,85,565.81,440.62800000000004,78229,41700,Esoph egd dilation <30 mm,5302.0
2010371,1609153329,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,60,561.095,433.586,78229,41700,Esoph egd dilation <30 mm,5302.0
2010374,1992796742,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,114,565.81,428.74807018,78229,41700,Esoph egd dilation <30 mm,5302.0
2010375,1225275688,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,674.04,528.45,92868,31080,Esoph egd dilation <30 mm,5302.0
2010378,1609989946,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,25,674.04,514.4904,92868,31080,Esoph egd dilation <30 mm,5302.0
2010381,1346386604,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,557.93,401.49190476,44320,10420,Esoph egd dilation <30 mm,5302.0
2010390,1508869645,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,50,635.491,495.358,93720,23420,Esoph egd dilation <30 mm,5302.0
2010391,1508869645,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,50,635.491,495.358,93720,31460,Esoph egd dilation <30 mm,5302.0
2010392,1558672626,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,25,641.91,486.7036,93720,23420,Esoph egd dilation <30 mm,5302.0
2010393,1558672626,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,25,641.91,486.7036,93720,31460,Esoph egd dilation <30 mm,5302.0
2010401,1154323988,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,53,618.42,470.25188679,22401,47900,Esoph egd dilation <30 mm,5302.0
2010405,1457593980,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,67,671.57,526.51,95991,49700,Esoph egd dilation <30 mm,5302.0
2010409,1609103399,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,691.32,542.0,91355,31080,Esoph egd dilation <30 mm,5302.0
2010414,1235178146,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,641.45,498.30416667,70441,12940,Esoph egd dilation <30 mm,5302.0
2010418,1447251327,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,37,533.37351351,401.12648649,59405,24500,Esoph egd dilation <30 mm,5302.0
2010427,1538110713,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,109,532.46,411.36311927,38801,46180,Esoph egd dilation <30 mm,5302.0
2010430,1023071560,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,20,578.0385,425.9295,76104,19100,Esoph egd dilation <30 mm,5302.0
2010431,1578530226,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,592.86,464.8,76104,19100,Esoph egd dilation <30 mm,5302.0
2010439,1619972791,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,27,549.09,429.86814815,29303,43900,Esoph egd dilation <30 mm,5302.0
2010452,1588668503,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,43,660.99,516.51790698,92270,40140,Esoph egd dilation <30 mm,5302.0
2010455,1538117841,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,175,540.2448,416.49914286,35007,13820,Esoph egd dilation <30 mm,5302.0
2010458,1376574814,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,578.54083333,453.57916667,48307,19820,Esoph egd dilation <30 mm,5302.0
2010461,1346203528,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,81,605.34,461.88160494,75093,19100,Esoph egd dilation <30 mm,5302.0
2010465,1497724942,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,70,605.34,462.21742857,75093,19100,Esoph egd dilation <30 mm,5302.0
2010471,1164528527,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,51,593.88235294,451.97705882,48197,11460,Esoph egd dilation <30 mm,5302.0
2010475,1053574244,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,599.65,466.84333333,34232,35840,Esoph egd dilation <30 mm,5302.0
2010478,1801869847,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,64,580.91125,450.20140625,34232,35840,Esoph egd dilation <30 mm,5302.0
2010483,1992741300,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,20,594.59,466.16,68503,30700,Esoph egd dilation <30 mm,5302.0
2010487,1487629044,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,43,583.74255814,449.02976744,27607,39580,Esoph egd dilation <30 mm,5302.0
2010488,1497084982,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,11,590.61,436.95454545,27607,39580,Esoph egd dilation <30 mm,5302.0
2010498,1720059348,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,655.66,509.71916667,98133,42660,Esoph egd dilation <30 mm,5302.0
2010502,1811052749,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,58,572.69568966,441.07706897,30097,12060,Esoph egd dilation <30 mm,5302.0
2010507,1760440515,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,128,700.27,547.7928125,95945,46020,Esoph egd dilation <30 mm,5302.0
2010508,1306963020,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,612.61,480.29,49015,28020,Esoph egd dilation <30 mm,5302.0
2010509,1306963020,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,612.61,480.29,49015,12980,Esoph egd dilation <30 mm,5302.0
2010513,1619037066,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,525.25,402.23466667,71730,20980,Esoph egd dilation <30 mm,5302.0
2010515,1295708964,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,34,587.11,454.43147059,38401,30280,Esoph egd dilation <30 mm,5302.0
2010516,1295708964,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,34,587.11,454.43147059,38401,34980,Esoph egd dilation <30 mm,5302.0
2010537,1740201607,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,41,559.94,422.26073171,32308,45220,Esoph egd dilation <30 mm,5302.0
2010545,1881627578,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,43,585.70488372,459.19651163,34239,35840,Esoph egd dilation <30 mm,5302.0
2010546,1912018086,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,95,599.65,464.59526316,34239,35840,Esoph egd dilation <30 mm,5302.0
2010571,1588797807,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,648.11,458.7325,99204,44060,Esoph egd dilation <30 mm,5302.0
2010572,1306201124,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,598.64,469.33,78666,12420,Esoph egd dilation <30 mm,5302.0
2010573,1306201124,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,598.64,469.33,78666,41700,Esoph egd dilation <30 mm,5302.0
2010579,1962676304,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,23,546.73,426.86695652,64804,27900,Esoph egd dilation <30 mm,5302.0
2010580,1063720365,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,595.72,459.77166667,84120,41620,Esoph egd dilation <30 mm,5302.0
2010584,1154318103,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,655.66,430.81666667,98201,42660,Esoph egd dilation <30 mm,5302.0
2010587,1962467951,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,34,522.03,401.75470588,35901,99999,Esoph egd dilation <30 mm,5302.0
2010588,1962467951,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,34,522.03,401.75470588,35901,23460,Esoph egd dilation <30 mm,5302.0
2010591,1386619682,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,76,538.18,420.90644737,67502,99999,Esoph egd dilation <30 mm,5302.0
2010592,1386619682,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,76,538.18,420.90644737,67502,26740,Esoph egd dilation <30 mm,5302.0
2010597,1265561419,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,110,566.96854545,427.66900000000004,30809,12260,Esoph egd dilation <30 mm,5302.0
2010602,1003887845,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,598.64,469.33,78745,12420,Esoph egd dilation <30 mm,5302.0
2010605,1104067115,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,48,849.93,664.365,94301,41940,Esoph egd dilation <30 mm,5302.0
2010610,1124492541,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,18,599.01,453.84055556,77380,26420,Esoph egd dilation <30 mm,5302.0
2010618,1902079775,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,67,578.86,447.51522388,32803,36740,Esoph egd dilation <30 mm,5302.0
2010630,1215024575,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,527.57,384.29466667,72903,22900,Esoph egd dilation <30 mm,5302.0
2010640,1548250335,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,166,568.31,445.55861446,28801,11700,Esoph egd dilation <30 mm,5302.0
2010671,1114996774,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,605.34,457.66214286,75237,19100,Esoph egd dilation <30 mm,5302.0
2010673,1497788145,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,659.92421053,494.73157895,90404,31080,Esoph egd dilation <30 mm,5302.0
2010677,1558328096,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,674.04,528.45,92663,31080,Esoph egd dilation <30 mm,5302.0
2010678,1730466483,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,21,674.04,528.45,92663,31080,Esoph egd dilation <30 mm,5302.0
2010681,1932321882,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,25,690.71,527.7719999999999,11743,35620,Esoph egd dilation <30 mm,5302.0
2010684,1124092945,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,82,563.84085366,434.35353659,32955,37340,Esoph egd dilation <30 mm,5302.0
2010687,1548223068,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,30,572.17,442.60400000000004,30904,12260,Esoph egd dilation <30 mm,5302.0
2010719,1801859970,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,849.93,666.34,95032,41940,Esoph egd dilation <30 mm,5302.0
2010720,1881662856,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,28,834.75285714,654.44142857,95032,41940,Esoph egd dilation <30 mm,5302.0
2010734,1255332805,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,76,581.13144737,447.63855263,61761,14010,Esoph egd dilation <30 mm,5302.0
2010742,1881850386,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,12,630.77,494.53,97330,18700,Esoph egd dilation <30 mm,5302.0
2010748,1003887225,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,26,576.83,445.69269231,77802,17780,Esoph egd dilation <30 mm,5302.0
2010753,1073588646,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,55,687.79,533.03781818,92025,41740,Esoph egd dilation <30 mm,5302.0
2010757,1447269790,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,605.27,473.22466667,53095,33340,Esoph egd dilation <30 mm,5302.0
2010759,1033368378,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,29,674.04,528.45,92691,31080,Esoph egd dilation <30 mm,5302.0
2010764,1891728382,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,57,531.86333333,397.86087719,39567,25060,Esoph egd dilation <30 mm,5302.0
2010773,1851548655,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,27,570.19,442.56,28207,16740,Esoph egd dilation <30 mm,5302.0
2010780,1720041536,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,605.57941176,440.75941176,14224,15380,Esoph egd dilation <30 mm,5302.0
2010785,1962499079,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,66,576.08212121,443.21454545,32224,27260,Esoph egd dilation <30 mm,5302.0
2010796,1881035509,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,596.51,436.92428571,43082,18140,Esoph egd dilation <30 mm,5302.0
2010804,1972694982,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,43,590.61,450.69023256,27615,39580,Esoph egd dilation <30 mm,5302.0
2010805,1962685834,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,483.91875,369.1175,87108,10740,Esoph egd dilation <30 mm,5302.0
2010817,1710081443,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,710.76,553.37769231,93003,37100,Esoph egd dilation <30 mm,5302.0
2010819,1831287580,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,555.31,434.28129032,45177,48940,Esoph egd dilation <30 mm,5302.0
2010820,1447212337,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,655.66,514.04,98034,42660,Esoph egd dilation <30 mm,5302.0
2010822,1447212121,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,37,558.16405405,425.81108108,78130,41700,Esoph egd dilation <30 mm,5302.0
2010823,1447212121,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,37,558.16405405,425.81108108,78130,12420,Esoph egd dilation <30 mm,5302.0
2010827,1629173075,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,23,632.74913043,496.07652174,48507,22420,Esoph egd dilation <30 mm,5302.0
2010829,1922125285,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,587.9,457.33941176,30024,12060,Esoph egd dilation <30 mm,5302.0
2010836,1508978990,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,611.33,476.91541667,49024,28020,Esoph egd dilation <30 mm,5302.0
2010839,1811933179,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,592.22625,426.443125,49024,28020,Esoph egd dilation <30 mm,5302.0
2010840,1740254572,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,24,594.78,466.3,89511,39900,Esoph egd dilation <30 mm,5302.0
2010844,1326004110,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,687.79,521.295,91942,41740,Esoph egd dilation <30 mm,5302.0
2010850,1194790808,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,45,578.8,442.68688889,45414,19430,Esoph egd dilation <30 mm,5302.0
2010854,1033195912,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,18,380.0,265.60944444,57401,10100,Esoph egd dilation <30 mm,5302.0
2010856,1396175246,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,27,599.01,454.20555556,77034,26420,Esoph egd dilation <30 mm,5302.0
2010858,1902036049,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,20,599.01,450.74,77063,26420,Esoph egd dilation <30 mm,5302.0
2010874,1730296997,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,70,553.18,422.50142857,25304,16620,Esoph egd dilation <30 mm,5302.0
2010876,1902215148,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,13,649.0,507.19384615,12601,39100,Esoph egd dilation <30 mm,5302.0
2010888,1588854772,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,551.27,419.9383871,35209,13820,Esoph egd dilation <30 mm,5302.0
2010889,1790756237,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,31,551.27,431.86709677,35209,13820,Esoph egd dilation <30 mm,5302.0
2010897,1306005343,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,14,543.69357143,426.25357143,27103,49180,Esoph egd dilation <30 mm,5302.0
2010898,1679687586,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,17,563.83,440.75176471,27103,49180,Esoph egd dilation <30 mm,5302.0
2010901,1992941462,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,587.9,460.91,30060,12060,Esoph egd dilation <30 mm,5302.0
2010903,1013372986,O,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,19,594.73421053,435.66631579,21702,47900,Esoph egd dilation <30 mm,5302.0
